,accom_icons,bookings_count,campsites_count,distance_to_search_place,favorites_count,has_enough_recommends,id,insertion_id,is_highly_demanded,is_instant_bookable,is_newly_live,is_price_discount,lat,lng,name,owner_first_name,park_name,park_url,price_per_night,price_per_night_formatted,price_per_night_base_formatted,recommends_count,recommends_percentage,url,state_abbrv_name,state_name,city_name,country_code,is_verified,market
92,tent,0,10,None,0,0,135882,c9p9pj67pepgp24n673g,0,1,0,0,32.23418386452526,-95.38943238342822,hedford Farm at Noonday,Sheila,hedford Farm at Noonday,/en-US/discover/texas/thedford-farm-at-noonday,30,30,30,0,0.0,https://www.hipcamp.com/en-US/texas/thedford-farm-at-noonday/thedford-farm-at-noonday,X,exas,None,US,0,"Texas Hill Country, TX"
93,rv,3,10,None,7,1,74661,c9p9pj67pepgp24n6740,0,0,0,0,32.4395,-97.213,"yndarosa Estate, wooded",ynthia,"yndarosa Estate, wooded",/en-US/discover/texas/cyndarosa-estate-wooded,30,30,30,2,100.0,https://www.hipcamp.com/en-US/texas/cyndarosa-estate-wooded/cyndarosa-estate-wooded,X,exas,lvarado,US,0,"Texas Hill Country, TX"
94,tent,0,2,None,5,0,134344,c9p9pj67pepgp24n674g,0,1,0,0,31.6247055317083,-97.27620864187245,Farm Sanctuary Farm Sounds Peaceful,abatha,Farm Sanctuary Farm Sounds Peaceful,/en-US/discover/texas/farm-sanctuary-farm-sounds-peaceful,50,50,50,0,0.0,https://www.hipcamp.com/en-US/texas/farm-sanctuary-farm-sounds-peaceful/farm-sanctuary-farm-sounds-peaceful,X,exas,hina Spring,US,0,"Texas Hill Country, TX"
95,house,0,1,None,0,0,150555,c9p9pj67pepgp24n6750,0,1,1,0,32.6688713671805,-96.1596937224767,Hacienda ree House,Gilberto, Little Piece of Paradise,/en-US/discover/texas/a-little-piece-of-paradise,60,60,59,0,0.0,https://www.hipcamp.com/en-US/texas/a-little-piece-of-paradise/hacienda-tree-house,X,exas,errell,US,0,"Texas Hill Country, TX"
96,"['tent', 'rv']",1,20,None,3,1,142357,c9p9pj67pepgp24n675g,0,1,0,0,30.93331,-96.06596,edar ree Hill,ano,ano .’s Land,/en-US/discover/texas/dano-t-s-land,30,30,30,1,100.0,https://www.hipcamp.com/en-US/texas/dano-t-s-land/cedar-tree-hill,X,exas,North Zulch,US,0,"Texas Hill Country, TX"
97,tent,0,8,None,10,0,141224,c9p9pj67pepgp24n6760,0,1,0,0,30.7013,-94.740467,Hoot Owl ampground,melia,Hoot Owl ampground,/en-US/discover/texas/hoot-owl-campground,25,25,25,0,0.0,https://www.hipcamp.com/en-US/texas/hoot-owl-campground/hoot-owl-campground,X,exas,Livingston,US,0,"Texas Hill Country, TX"
98,tent,0,10,None,4,0,14213,c9p9pj67pepgp24n676g,0,1,0,0,31.7167,-96.1217,Bunny Hill Farm,sherri,Bunny Hill Farm,/en-US/discover/texas/bunny-hill-farm,30,30,30,0,0.0,https://www.hipcamp.com/en-US/texas/bunny-hill-farm/bunny-hill-farm,X,exas,Fairfield,US,0,"Texas Hill Country, TX"
99,house,1,1,None,21,1,41640,c9p9pj67pepgp24n6770,0,0,0,0,31.3631,-97.258,Star Gazing Peaceful abin,Kelli,Kelli B.’s Land,/en-US/discover/texas/kelli-b-s-land,129,129,129,1,100.0,https://www.hipcamp.com/en-US/texas/kelli-b-s-land/star-gazing-peaceful-cabin,X,exas,Moody,US,0,"Texas Hill Country, TX"
100,house,0,6,None,6,0,144539,c9p9pj67pepgp24n677g,0,1,0,0,31.3582262212397,-97.1567352115917333,Starlitex,Heather,Heather N.’s Land,/en-US/discover/texas/heather-n-s-land-2,175,175,175,0,0.0,https://www.hipcamp.com/en-US/texas/heather-n-s-land-2/starlitetx,X,exas,Lorena,US,0,"Texas Hill Country, TX"
101,"['tent', 'rv']",0,2,None,20,0,67034,c9p9pj67pepgp24n6780,0,1,0,0,31.8243366,-96.3226481,Primitive camping with ponds,Ken,Primitive camping with ponds,/en-US/discover/texas/primitive-camping-with-ponds,30,30,30,0,0.0,https://www.hipcamp.com/en-US/texas/primitive-camping-with-ponds/primitive-camping-with-ponds,X,exas,Streetman,US,0,"Texas Hill Country, TX"
102,house,0,6,None,10,0,47676,c9p9pj67pepgp24n678g,0,0,0,0,33.2620611669615393,-95.8484926970243467,Primitive frican Village,Lanita,Blackland Ranch Wholeness tr,/en-US/discover/texas/blackland-ranch-wholeness-ctr,50,50,50,0,0.0,https://www.hipcamp.com/en-US/texas/blackland-ranch-wholeness-ctr/primitive-african-village,X,exas,ommerce,US,0,"Texas Hill Country, TX"
103,rv,10,2,None,21,1,62406,c9p9pj67pepgp24n6790,0,1,0,0,32.7067754092497,-96.1564578538289,Shady oaks camping,dam,Shady oaks camping,/en-US/discover/texas/shady-oaks-camping,20,20,20,6,83.3333333333333,https://www.hipcamp.com/en-US/texas/shady-oaks-camping/shady-oaks-camping,X,exas,errell,US,1,"Texas Hill Country, TX"
104,house,1,1,None,38,1,43649,c9p9pj67pepgp24n67a0,0,0,0,0,33.5415,-96.963,RV amping at Nature and Horse amp,pril ,amp onkawa Woods & Horse amp,/en-US/discover/texas/camp-tonkawa-woods-horse-camp,40,40,40,1,100.0,https://www.hipcamp.com/en-US/texas/camp-tonkawa-woods-horse-camp/rv-camping-at-nature-and-horse-camp,X,exas,ollinsville,US,0,"Texas Hill Country, TX"
105,"['tent', 'rv']",0,5,None,1,0,151260,c9p9pj67pepgp24n67ag,0,1,0,0,33.2442700446926,-96.436447044279,Blue Ridge Farms,Michael,Michael W.’s Land,/en-US/discover/texas/michael-w-s-land-22,65,65,65,0,0.0,https://www.hipcamp.com/en-US/texas/michael-w-s-land-22/blue-ridge-farms,X,exas,None,US,0,"Texas Hill Country, TX"
106,"['tent', 'rv']",0,8,None,5,0,134487,c9p9pj67pepgp24n67b0,0,1,0,0,31.2633634783702,-96.1774533164022,Longhorn amping Getaway,hristin,Longhorn amping Getaway,/en-US/discover/texas/longhorn-camping-getaway,49,49,49,0,0.0,https://www.hipcamp.com/en-US/texas/longhorn-camping-getaway/longhorn-camping-getaway,X,exas,Jewett,US,0,"Texas Hill Country, TX"
