,names,urls,prices,state
0,NM Mountains Wildlife Paradise,https://www.tentrr.com/explore/New-Mexico/NM-Mountains-Wildlife-Paradise?start=&end=&number_of_people=2,280,New Mexico
1,Rancho Valdepena Hilltop,https://www.tentrr.com/explore/New-Mexico/Rancho-Valdepena-Hilltop?start=&end=&number_of_people=2,52,New Mexico
2,Rancho Valdepena Northern Meadow,https://www.tentrr.com/explore/New-Mexico/Rancho-Valdepena-Northern-Meadow?start=&end=&number_of_people=2,52,New Mexico
3,Rancho Valdepena Southern Meadow,https://www.tentrr.com/explore/New-Mexico/Rancho-Valdepena-Southern-Meadow?start=&end=&number_of_people=2,52,New Mexico
4,Old Gem Farm Camp,https://www.tentrr.com/explore/New-Mexico/Old-Gem-Farm-Camp?start=&end=&number_of_people=2,70,New Mexico
