,names,urls,prices,state
0,Maurolou Farm,https://www.tentrr.com/explore/Rhode-Island/Maurolou-Farm?start=&end=&number_of_people=2,200,Rhode Island
1,Glamp Frogmore,https://www.tentrr.com/explore/Rhode-Island/Glamp-Frogmore?start=&end=&number_of_people=2,200,Rhode Island
2,Pine Grove,https://www.tentrr.com/explore/Rhode-Island/Pine-Grove?start=&end=&number_of_people=2,130,Rhode Island
3,The Wampanoag Site at Hilltop Tree Farm- Neighboring Highland Woods/Fort Barton Woods,https://www.tentrr.com/explore/Rhode-Island/The-Wampanoag-Site-at-Hilltop-Tree-Farm-Neighboring-Highland-Woods-Fort-Barton-Woods?start=&end=&number_of_people=2,175,Rhode Island
4,The Sakonnet River Getaway at Hilltop Tree Farm- Neighboring Highland Woods/Fort Barton Woods,https://www.tentrr.com/explore/Rhode-Island/The-Sakonnet-River-Getaway-at-Hilltop-Tree-Farm-Neighboring-Highland-Woods-Fort-Barton-Woods?start=&end=&number_of_people=2,175,Rhode Island
