,names,urls,prices,state
0,Heavens Landing,https://www.tentrr.com/explore/New-Jersey/Heavens-Landing?start=&end=&number_of_people=2,150,New Jersey
1,Appalachian Trail Hilltop Hideaway - Coleman Cooking Site,https://www.tentrr.com/explore/New-Jersey/Appalachian-Trail-Hilltop-Hideaway-Coleman-Cooking-Site?start=&end=&number_of_people=2,150,New Jersey
2,Pinelands Getaway,https://www.tentrr.com/explore/New-Jersey/Pinelands-Getaway?start=&end=&number_of_people=2,120,New Jersey
3,Glamping Tent at Camp Griffin,https://www.tentrr.com/explore/New-Jersey/Glamping-Tent-at-Camp-Griffin?start=&end=&number_of_people=2,152,New Jersey
4,Clove Farm,https://www.tentrr.com/explore/New-Jersey/Clove-Farm?start=&end=&number_of_people=2,151,New Jersey
5,Jacobs Creek Riverside Paradise,https://www.tentrr.com/explore/New-Jersey/Jacobs-Creek-Riverside-Paradise?start=&end=&number_of_people=2,116,New Jersey
