,names,urls,prices,state
0,NorCal Red Dog Ridge Base Camp,https://www.tentrr.com/explore/California/NorCal-Red-Dog-Ridge-Base-Camp?start=&end=&number_of_people=2,75,Iowa
1,Monarch ***PLEASE SEE NOTE BELOW ABOUT POTTER COUNTY BURN BAN***,https://www.tentrr.com/explore/Texas/Monarch-PLEASE-SEE-NOTE-BELOW-ABOUT-POTTER-COUNTY-BURN-BAN?start=&end=&number_of_people=2,100,Iowa
2,Painted Lady ***PLEASE SEE NOTE BELOW ABOUT POTTER COUNTY BURN BAN***,https://www.tentrr.com/explore/Texas/Painted-Lady-PLEASE-SEE-NOTE-BELOW-ABOUT-POTTER-COUNTY-BURN-BAN?start=&end=&number_of_people=2,100,Iowa
3,Grass Valley Private Camp Retreat - The Pond,https://www.tentrr.com/explore/California/Grass-Valley-Private-Camp-Retreat-The-Pond?start=&end=&number_of_people=2,80,Iowa
4,Nature Lover and Gardener's Dream,https://www.tentrr.com/explore/Wisconsin/Nature-Lover-and-Gardener-s-Dream?start=&end=&number_of_people=2,19,Iowa
