,names,urls,prices,state
0,Redlands Acre Rustic Resort ,https://www.tentrr.com/explore/Florida/Redlands-Acre-Rustic-Resort?start=&end=&number_of_people=2,120,Florida
1,Skyland Ranch Deep Ravine,https://www.tentrr.com/explore/Florida/Skyland-Ranch-Deep-Ravine?start=&end=&number_of_people=2,68,Florida
2,Skyview Trail,https://www.tentrr.com/explore/Florida/Skyview-Trail?start=&end=&number_of_people=2,100,Florida
3,Common Ground Farm,https://www.tentrr.com/explore/Florida/Common-Ground-Farm?start=&end=&number_of_people=2,24,Florida
4,Home Field Advantage Farmstead,https://www.tentrr.com/explore/Florida/Home-Field-Advantage-Farmstead?start=&end=&number_of_people=2,16,Florida
5,S’More Memories Camp,https://www.tentrr.com/explore/Florida/SMore-Memories-Camp?start=&end=&number_of_people=2,48,Florida
6,Stagecoach junction site 1,https://www.tentrr.com/explore/Florida/Stagecoach-junction-site-1?start=&end=&number_of_people=2,22,Florida
7,Stagecoach junction Site 2,https://www.tentrr.com/explore/Florida/Stagecoach-junction-Site-2?start=&end=&number_of_people=2,22,Florida
