,names,urls,prices,state
8,Forest Campsite with Waterfalls,https://www.tentrr.com/explore/Maine/Forest-Campsite-with-Waterfalls?start=&end=&number_of_people=2,40,Maine
9,Brookside Haven,https://www.tentrr.com/explore/Maine/Brookside-Haven?start=&end=&number_of_people=2,68,Maine
10,"Ohana Roots Camp at Sandy Pond, Waterfront",https://www.tentrr.com/explore/Maine/Ohana-Roots-Camp-at-Sandy-Pond-Waterfront?start=&end=&number_of_people=2,90,Maine
11,Lake Front A at Kiwanis Beach,https://www.tentrr.com/explore/Maine/Lake-Front-A-at-Kiwanis-Beach?start=&end=&number_of_people=2,40,Maine
0,Stargazing Rock Campsite,https://www.tentrr.com/explore/Maine/Stargazing-Rock-Campsite?start=&end=&number_of_people=2,76,Maine
1,Group site at Kiwanis Beach ,https://www.tentrr.com/explore/Maine/Group-site-at-Kiwanis-Beach?start=&end=&number_of_people=2,200,Maine
2,Lone Mountain Farm Camping,https://www.tentrr.com/explore/Maine/Lone-Mountain-Farm-Camping?start=&end=&number_of_people=2,80,Maine
3,Spellbound Farm's Midcoast Haven,https://www.tentrr.com/explore/Maine/Spellbound-Farm-s-Midcoast-Haven?start=&end=&number_of_people=2,85,Maine
4,Half Hundred Acre Woods,https://www.tentrr.com/explore/Maine/Half-Hundred-Acre-Woods?start=&end=&number_of_people=2,88,Maine
5,Pearl Brook Farm Overlook,https://www.tentrr.com/explore/Maine/Pearl-Brook-Farm-Overlook?start=&end=&number_of_people=2,120,Maine
6,Widgeon Cove,https://www.tentrr.com/explore/Maine/Widgeon-Cove?start=&end=&number_of_people=2,110,Maine
7,Island view at Kiwanis Beach - Coleman Cooking Site,https://www.tentrr.com/explore/Maine/Island-view-at-Kiwanis-Beach-Coleman-Cooking-Site?start=&end=&number_of_people=2,135,Maine
8,Bodkin Meadow,https://www.tentrr.com/explore/Maine/Bodkin-Meadow?start=&end=&number_of_people=2,32,Maine
9,Katahdin Woods and Waters,https://www.tentrr.com/explore/Maine/Katahdin-Woods-and-Waters?start=&end=&number_of_people=2,56,Maine
10,ATV Moose Kamp Lite BackCountry,https://www.tentrr.com/explore/Maine/ATV-Moose-Kamp-Lite-BackCountry?start=&end=&number_of_people=2,32,Maine
11,ATV Katahdin Moose Kamp,https://www.tentrr.com/explore/Maine/ATV-Katahdin-Moose-Kamp?start=&end=&number_of_people=2,87,Maine
0,Hill Top Camp,https://www.tentrr.com/explore/Maine/Hill-Top-Camp?start=&end=&number_of_people=2,100,Maine
1,Streamside Overlook at WildWalkWays,https://www.tentrr.com/explore/Maine/Streamside-Overlook-at-WildWalkWays?start=&end=&number_of_people=2,42,Maine
2,The Knoll at Red Tractor Farm,https://www.tentrr.com/explore/Maine/The-Knoll-at-Red-Tractor-Farm?start=&end=&number_of_people=2,125,Maine
3,Horseshoe River : Outlook,https://www.tentrr.com/explore/Maine/Horseshoe-River-Outlook?start=&end=&number_of_people=2,135,Maine
4, Retreat at River's Edge on the Nezinscot River,https://www.tentrr.com/explore/Maine/Retreat-at-River-s-Edge-on-the-Nezinscot-River?start=&end=&number_of_people=2,90,Maine
5,Valley Woods Getaway,https://www.tentrr.com/explore/Maine/Valley-Woods-Getaway?start=&end=&number_of_people=2,40,Maine
6,Morning Mist at Wildwalkways,https://www.tentrr.com/explore/Maine/Morning-Mist-at-Wildwalkways?start=&end=&number_of_people=2,39,Maine
7,PONDerosa View,https://www.tentrr.com/explore/Maine/PONDerosa-View?start=&end=&number_of_people=2,112,Maine
8,"Ohana Roots Camp at Sandy Pond, Forest Hideaway Site",https://www.tentrr.com/explore/Maine/Ohana-Roots-Camp-at-Sandy-Pond-Forest-Hideaway-Site?start=&end=&number_of_people=2,80,Maine
9,Cedar Meadows at Wildwalkways,https://www.tentrr.com/explore/Maine/Cedar-Meadows-at-Wildwalkways?start=&end=&number_of_people=2,39,Maine
10,Frog Hollow at Wildwalkways,https://www.tentrr.com/explore/Maine/Frog-Hollow-at-Wildwalkways?start=&end=&number_of_people=2,33,Maine
11,"Streaked Mt Top ME. Campsite                                                                                                                       (or..New ""Quantum Retreat One"" for Art Therapists/PLEIN AIR PAINTING SITE)",https://www.tentrr.com/explore/Maine/Streaked-Mt-Top-ME-Campsite-or-New-Quantum-Retreat-One-for-Art-Therapists-PLEIN-AIR-PAINTING-SITE?start=&end=&number_of_people=2,96,Maine
0,Valhalla Farm,https://www.tentrr.com/explore/Maine/Valhalla-Farm?start=&end=&number_of_people=2,80,Maine
1,Sunrise at The Old Miller Shed Company,https://www.tentrr.com/explore/Maine/Sunrise-at-The-Old-Miller-Shed-Company?start=&end=&number_of_people=2,120,Maine
2,Lakefront at Big Clemons,https://www.tentrr.com/explore/Maine/Lakefront-at-Big-Clemons?start=&end=&number_of_people=2,104,Maine
3,The Ridge at Clemons Pond Farm,https://www.tentrr.com/explore/Maine/The-Ridge-at-Clemons-Pond-Farm?start=&end=&number_of_people=2,48,Maine
4,Bridgewater Farm,https://www.tentrr.com/explore/Maine/Bridgewater-Farm?start=&end=&number_of_people=2,80,Maine
5,Lakefront at Little Clemons,https://www.tentrr.com/explore/Maine/Lakefront-at-Little-Clemons?start=&end=&number_of_people=2,104,Maine
6,Backcountry wildlife campsite ,https://www.tentrr.com/explore/Maine/Backcountry-wildlife-campsite?start=&end=&number_of_people=2,25,Maine
