,names,urls,prices,state
0,Starry Nights,https://www.tentrr.com/explore/Ohio/Starry-Nights?start=&end=&number_of_people=2,125,Ohio
1,Muskingum River Glamping,https://www.tentrr.com/explore/Ohio/Muskingum-River-Glamping?start=&end=&number_of_people=2,80,Ohio
2,Secluded private campsite on 100 acres on Bear Creek Farm,https://www.tentrr.com/explore/Ohio/Secluded-private-campsite-on-100-acres-on-Bear-Creek-Farm?start=&end=&number_of_people=2,50,Ohio
3,Fish Farm Camp Site 2,https://www.tentrr.com/explore/Ohio/Fish-Farm-Camp-Site-2?start=&end=&number_of_people=2,16,Ohio
4,Wine Country Treasure,https://www.tentrr.com/explore/Ohio/Wine-Country-Treasure?start=&end=&number_of_people=2,106,Ohio
5,Fish Farm Camp Site 1,https://www.tentrr.com/explore/Ohio/Fish-Farm-Camp-Site-1?start=&end=&number_of_people=2,16,Ohio
6,Fish Farm Camp Site 4,https://www.tentrr.com/explore/Ohio/Fish-Farm-Camp-Site-4?start=&end=&number_of_people=2,16,Ohio
7,Fish Farm Camp Site 3,https://www.tentrr.com/explore/Ohio/Fish-Farm-Camp-Site-3?start=&end=&number_of_people=2,16,Ohio
