,names,urls,prices,state
10,Camp Out  Cactus Flower Ranch 4,https://www.tentrr.com/explore/California/Camp-Out-Cactus-Flower-Ranch-4?start=&end=&number_of_people=2,79,California
11,Camp Out  Cactus Flower Ranch 5,https://www.tentrr.com/explore/California/Camp-Out-Cactus-Flower-Ranch-5?start=&end=&number_of_people=2,79,California
0,Camp Out  Cactus Flower Ranch 2,https://www.tentrr.com/explore/California/Camp-Out-Cactus-Flower-Ranch-2?start=&end=&number_of_people=2,79,California
1,Camp Gadson Garden Site 1,https://www.tentrr.com/explore/California/Camp-Gadson-Garden-Site-1?start=&end=&number_of_people=2,12,California
2,THE WONDER DOME!!!,https://www.tentrr.com/explore/California/THE-WONDER-DOME?start=&end=&number_of_people=2,137,California
3,Campsite 1 A,https://www.tentrr.com/explore/California/Campsite-1-A?start=&end=&number_of_people=2,40,California
4,Lagier Ranches Camp,https://www.tentrr.com/explore/California/Lagier-Ranches-Camp?start=&end=&number_of_people=2,80,California
5,Hidden Trails Campsite,https://www.tentrr.com/explore/California/Hidden-Trails-Campsite?start=&end=&number_of_people=2,80,California
6,Lost Sierra Base Camp,https://www.tentrr.com/explore/California/Lost-Sierra-Base-Camp?start=&end=&number_of_people=2,80,California
7,The Lily Pad in Sonoma Wine Country,https://www.tentrr.com/explore/California/The-Lily-Pad-in-Sonoma-Wine-Country?start=&end=&number_of_people=2,92,California
8,Creekside Paradise,https://www.tentrr.com/explore/California/Creekside-Paradise?start=&end=&number_of_people=2,185,California
9,Glamorous High Desert Farm Yurt # 2,https://www.tentrr.com/explore/California/Glamorous-High-Desert-Farm-Yurt-2?start=&end=&number_of_people=2,132,California
10,Private Hilltop Canyon,https://www.tentrr.com/explore/California/Private-Hilltop-Canyon?start=&end=&number_of_people=2,76,California
