,names,urls,prices,state
0,The Granite Meadow,https://www.tentrr.com/explore/Connecticut/The-Granite-Meadow?start=&end=&number_of_people=2,32,Connecticut
1,Meadow Ridge Farm Woods,https://www.tentrr.com/explore/Connecticut/Meadow-Ridge-Farm-Woods?start=&end=&number_of_people=2,108,Connecticut
2,Beaver Pond Camping at Farm Winery,https://www.tentrr.com/explore/Connecticut/Beaver-Pond-Camping-at-Farm-Winery?start=&end=&number_of_people=2,100,Connecticut
3,Meadow Ridge Farm  Meadow,https://www.tentrr.com/explore/Connecticut/Meadow-Ridge-Farm-Meadow?start=&end=&number_of_people=2,116,Connecticut
4,Tipi on the River,https://www.tentrr.com/explore/Connecticut/Tipi-on-the-River?start=&end=&number_of_people=2,80,Connecticut
5,Your Huckleberry Farms   Backwoods Edition,https://www.tentrr.com/explore/Connecticut/Your-Huckleberry-Farms-Backwoods-Edition?start=&end=&number_of_people=2,96,Connecticut
6,Flirtation Farms Backcountry Site,https://www.tentrr.com/explore/Connecticut/Flirtation-Farms-Backcountry-Site?start=&end=&number_of_people=2,50,Connecticut
7,Your Huckleberry Farms   Split Axe Edition,https://www.tentrr.com/explore/Connecticut/Your-Huckleberry-Farms-Split-Axe-Edition?start=&end=&number_of_people=2,28,Connecticut
